City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed
141,Lorengau,PG,2023-03-30 18:53:48,-2.0226,147.2712,78.89,80,1.05
142,Molteno,ZA,2023-03-30 19:01:22,-31.3968,26.3625,50.86,45,8.39
143,Hambantota,LK,2023-03-30 19:01:22,6.1241,81.1185,75.54,100,1.14
144,Broken Hill,AU,2023-03-30 18:58:29,-31.95,141.4333,59.85,53,7.29
145,Pevek,RU,2023-03-30 18:52:43,69.7008,170.3133,-4.85,93,6.78
146,Aswan,EG,2023-03-30 19:01:26,24.0934,32.907,72.7,21,9.22
147,Glendive,US,2023-03-30 19:01:26,47.1053,-104.7125,35.22,64,18.41
148,Ballina,AU,2023-03-30 19:01:26,-28.8667,153.5667,57.78,70,9.13
149,Rawlins,US,2023-03-30 19:01:20,41.7911,-107.2387,40.35,60,11.5
150,Indianola,US,2023-03-30 19:01:27,41.3581,-93.5574,68.49,45,8.99
151,Mountain Home,US,2023-03-30 19:00:04,43.133,-115.6912,38.68,94,16.11
152,Maloy,NO,2023-03-30 19:01:28,61.9353,5.1136,37.13,75,4.88
153,Samarai,PG,2023-03-30 19:01:28,-10.6167,150.6667,82.09,76,4.09
154,Aklavik,CA,2023-03-30 19:01:30,68.2191,-135.0107,5.0,66,6.91
155,Hellin,ES,2023-03-30 19:01:30,38.5106,-1.701,68.67,26,12.01
156,Gweru,ZW,2023-03-30 19:01:31,-19.45,29.8167,62.44,87,6.46
157,Astoria,US,2023-03-30 19:00:03,46.1879,-123.8313,49.93,75,8.05
158,Saint-Philippe,RE,2023-03-30 18:53:46,-21.3585,55.7679,78.39,89,10.56
159,Provideniya,RU,2023-03-30 19:01:31,64.3833,-173.3,15.69,85,8.39
160,Zabid,YE,2023-03-30 19:01:32,14.1951,43.3152,84.38,66,6.15
161,Chateau-Thierry,FR,2023-03-30 19:01:32,49.05,3.4,56.23,75,15.48
162,Voskresensk,RU,2023-03-30 18:58:02,55.3125,38.6636,34.38,84,8.55
163,Polazna,RU,2023-03-30 19:01:33,58.2946,56.4055,36.79,74,11.56
164,Bengkulu,ID,2023-03-30 19:01:33,-3.8004,102.2655,73.2,91,7.56
165,Kruisfontein,ZA,2023-03-30 18:57:39,-34.0033,24.7314,57.18,94,6.35
166,Hervey Bay,AU,2023-03-30 19:00:07,-25.2986,152.8535,68.56,61,9.44
167,Amudat,UG,2023-03-30 19:01:34,1.95,34.95,74.05,60,13.69
168,Roma,US,2023-03-30 18:54:53,43.2128,-75.4557,36.37,47,14.97
169,Khatanga,RU,2023-03-30 18:52:42,71.9667,102.5,-20.27,99,7.25
170,Saint-Augustin,CA,2023-03-30 19:01:27,51.226,-58.6502,34.07,76,10.78
171,Pahrump,US,2023-03-30 19:00:04,36.2083,-115.9839,49.84,51,8.99
172,Salalah,OM,2023-03-30 19:01:35,17.0151,54.0924,79.34,56,4.07
173,Ayagoz,KZ,2023-03-30 19:01:35,47.9714,80.4392,24.66,75,20.0
174,Yaan,NG,2023-03-30 19:01:36,7.3833,8.5667,91.98,32,4.27
