City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Rincon,US,2023-04-04 21:19:36,32.296,-81.2354,84.9,58,40,5.75
105,Pizarro,CO,2023-04-04 21:19:37,4.9533,-77.366,83.12,74,100,5.55
106,Victoria,HK,2023-04-04 21:19:18,22.2855,114.1577,77.05,93,15,1.01
107,Gien,FR,2023-04-04 21:19:37,47.6933,2.6309,40.55,78,0,6.4
108,Kobelyaky,UA,2023-04-04 21:19:37,49.1489,34.1965,50.65,73,100,10.22
109,Samana,DO,2023-04-04 21:19:38,19.2056,-69.3369,88.02,55,20,10.36
110,Dalvik,IS,2023-04-04 21:19:38,65.9702,-18.5286,35.53,98,99,2.84
111,Genhe,CN,2023-04-04 21:19:38,50.7833,121.5167,20.79,67,3,3.83
112,Iqaluit,CA,2023-04-04 21:19:38,63.7506,-68.5145,-0.67,71,75,17.27
113,Safaga,EG,2023-04-04 21:19:38,26.7292,33.9365,77.58,29,61,5.73
114,Williams Lake,CA,2023-04-04 21:15:21,52.1415,-122.1445,39.13,70,71,1.74
115,Phibun Mangsahan,TH,2023-04-04 21:19:39,15.2447,105.2291,84.18,51,37,9.22
116,Saint-Pierre,RE,2023-04-04 21:19:39,-21.3393,55.4781,76.68,73,0,8.05
117,High Rock,BS,2023-04-04 21:19:39,26.6208,-78.2833,78.17,68,1,9.22
118,Sageata,RO,2023-04-04 21:19:39,45.1,26.9833,39.47,76,100,19.86
119,Abu Kamal,SY,2023-04-04 21:19:40,34.4506,40.9171,71.51,30,90,19.64
120,Thompson,CA,2023-04-04 21:19:40,55.7435,-97.8558,28.56,24,20,6.91
121,Viedma,AR,2023-04-04 21:19:40,-40.8135,-62.9967,72.63,34,69,17.69
122,Port Alfred,ZA,2023-04-04 21:19:40,-33.5906,26.891,65.52,84,4,5.17
123,Tuktoyaktuk,CA,2023-04-04 21:19:41,69.4541,-133.0374,14.0,73,100,8.05
124,Sinnar,SD,2023-04-04 21:19:41,13.5691,33.5672,89.15,13,19,12.35
125,Limpapa,PH,2023-04-04 21:19:41,7.1197,121.9106,70.93,81,100,2.66
126,San Cristobal,VE,2023-04-04 21:19:02,7.7669,-72.225,78.98,52,37,4.03
127,Sechura,PE,2023-04-04 21:19:41,-5.5569,-80.8222,82.18,70,100,5.35
128,Hovd,MN,2023-04-04 21:19:41,48.0056,91.6419,23.85,30,7,0.89
129,Saint-Augustin,CA,2023-04-04 21:19:42,51.226,-58.6502,34.05,82,95,10.8
130,Vaini,TO,2023-04-04 21:19:42,-21.2,-175.2,82.56,74,40,6.91
131,Banda Aceh,ID,2023-04-04 21:19:42,5.5577,95.3222,78.57,76,18,1.74
132,Salekhard,RU,2023-04-04 21:19:44,66.53,66.6019,6.49,96,88,8.08
133,Kostino,RU,2023-04-04 21:19:44,58.9097,53.2691,36.88,96,100,3.69
134,Caravelas,BR,2023-04-04 21:19:44,-17.7125,-39.2481,77.54,78,98,7.63
135,Hokitika,NZ,2023-04-04 21:19:44,-42.7167,170.9667,56.61,82,99,3.24
136,Kargasok,RU,2023-04-04 21:19:45,59.0556,80.8572,16.0,88,10,5.84
137,Euclides Da Cunha,BR,2023-04-04 21:19:45,-10.5075,-39.0158,76.73,67,99,7.52
138,Lakes Entrance,AU,2023-04-04 21:19:45,-37.8811,147.981,56.79,88,49,6.76
139,Kidal,ML,2023-04-04 21:19:45,18.4411,1.4078,85.86,6,33,5.68
140,Deputatskiy,RU,2023-04-04 21:19:45,69.3,139.9,5.04,97,100,3.71
141,Itaberai,BR,2023-04-04 21:19:46,-16.0203,-49.8103,70.9,82,2,1.5
142,Kiri Buru,IN,2023-04-04 21:19:46,22.0833,85.35,75.63,43,2,3.8
143,Mareeba,AU,2023-04-04 21:19:46,-17.0,145.4333,73.44,94,100,1.9
144,Yeniseysk,RU,2023-04-04 21:19:46,58.4497,92.1703,11.52,91,6,5.82
145,Lompoc,US,2023-04-04 21:19:46,34.6391,-120.4579,63.7,55,40,23.02
146,Lebu,CL,2023-04-04 21:19:47,-37.6167,-73.65,59.07,69,98,8.55
147,Zhigansk,RU,2023-04-04 21:19:47,66.7697,123.3711,-6.05,96,100,23.51
148,Airai,TL,2023-04-04 21:19:47,-8.9266,125.4092,58.41,92,98,2.35
